DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1994-05-01,1994,5,3.341,0.03600000000000003
1994-08-01,1994,8,3.702,-0.009000000000000341
1994-09-01,1994,9,3.386,-0.06125000000000025
1994-10-01,1994,10,2.997,-0.046250000000000124
1994-11-01,1994,11,2.6100000000000003,0.01949999999999985
1994-12-01,1994,12,1.99,0.0
1995-01-01,1995,1,1.925,0.0
1995-02-01,1995,2,2.048,0.0
1995-03-01,1995,3,2.199,0.0
1995-04-01,1995,4,2.754,0.0
1995-05-01,1995,5,3.269,-0.03600000000000003
1995-06-01,1995,6,3.5340000000000003,0.0
1995-08-01,1995,8,3.72,0.008999999999999897
1995-09-01,1995,9,3.386,-0.06125000000000025
1996-10-01,1996,10,2.927,-0.11624999999999996
2006-11-01,2006,11,2.571,-0.019500000000000295
2008-10-01,2008,10,3.13,0.08674999999999988
2009-09-01,2009,9,3.4490000000000003,0.0017499999999999183
2010-10-01,2010,10,3.119,0.0757500000000002
2012-09-01,2012,9,3.568,0.12074999999999969
