DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
2001-07-01,2001,7,2.534,-0.0770000000000004
2001-09-01,2001,9,2.3440000000000003,-0.0009999999999998899
2001-10-01,2001,10,2.3280000000000003,0.21860000000000035
2001-12-01,2001,12,1.215,-0.010499999999999954
2002-02-01,2002,2,1.2970000000000002,0.10233333333333339
2002-03-01,2002,3,1.511,0.04833333333333334
2002-10-01,2002,10,2.031,-0.0783999999999998
2002-11-01,2002,11,1.757,0.08466666666666667
2003-04-01,2003,4,1.622,0.021750000000000158
2003-08-01,2003,8,2.867,0.15400000000000036
2007-10-01,2007,10,2.056,-0.05339999999999989
2008-04-01,2008,4,1.656,0.055749999999999966
2008-05-01,2008,5,1.877,-0.05950000000000011
2008-06-01,2008,6,2.177,-0.06499999999999995
2008-07-01,2008,7,2.579,-0.03200000000000003
2008-08-01,2008,8,2.5780000000000003,-0.13499999999999934
2008-10-01,2008,10,2.066,-0.043400000000000105
2008-11-01,2008,11,1.524,-0.1483333333333332
2008-12-01,2008,12,1.236,0.010499999999999954
2009-02-01,2009,2,1.162,-0.032666666666666844
2009-03-01,2009,3,1.324,-0.1386666666666665
2009-04-01,2009,4,1.499,-0.10124999999999984
2009-05-01,2009,5,1.996,0.059499999999999886
2009-06-01,2009,6,2.307,0.06499999999999995
2009-07-01,2009,7,2.72,0.10899999999999999
2009-08-01,2009,8,2.694,-0.018999999999999684
2009-09-01,2009,9,2.346,0.0009999999999998899
2009-10-01,2009,10,2.066,-0.043400000000000105
2009-11-01,2009,11,1.736,0.06366666666666676
2013-02-01,2013,2,1.125,-0.06966666666666677
2013-03-01,2013,3,1.553,0.09033333333333338
2013-04-01,2013,4,1.624,0.02375000000000016
