DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1878-01-01,1878,1,1.029,-0.2704545454545455
1881-10-01,1881,10,1.6800000000000002,-0.4150666666666667
1881-11-01,1881,11,1.486,-0.17245454545454542
1881-12-01,1881,12,1.204,-0.189888888888889
1882-01-01,1882,1,1.207,-0.09245454545454534
1882-02-01,1882,2,1.24,-0.10091666666666677
1882-03-01,1882,3,1.21,-0.25641666666666674
1882-04-01,1882,4,1.515,-0.14953846153846162
1882-05-01,1882,5,1.709,-0.2148461538461539
1882-06-01,1882,6,2.128,-0.11457142857142832
1882-07-01,1882,7,2.199,-0.3595333333333337
1882-08-01,1882,8,2.263,-0.3393333333333337
1882-10-01,1882,10,1.701,-0.3940666666666668
1882-11-01,1882,11,1.401,-0.2574545454545454
1882-12-01,1882,12,1.147,-0.24688888888888894
1883-02-01,1883,2,1.133,-0.20791666666666675
1883-03-01,1883,3,1.244,-0.2224166666666667
1883-04-01,1883,4,1.447,-0.21753846153846146
1883-05-01,1883,5,1.707,-0.2168461538461539
1883-06-01,1883,6,1.961,-0.28157142857142836
1883-08-01,1883,8,2.207,-0.39533333333333376
1883-09-01,1883,9,2.051,-0.3192499999999998
1883-10-01,1883,10,1.7,-0.3950666666666669
1883-11-01,1883,11,1.381,-0.2774545454545454
1883-12-01,1883,12,1.083,-0.310888888888889
1884-01-01,1884,1,1.034,-0.2654545454545454
1884-02-01,1884,2,1.375,0.03408333333333324
1884-03-01,1884,3,1.393,-0.07341666666666669
1884-04-01,1884,4,1.52,-0.1445384615384615
1884-05-01,1884,5,1.737,-0.18684615384615388
1884-06-01,1884,6,1.996,-0.24657142857142844
1884-07-01,1884,7,2.385,-0.17353333333333376
1884-08-01,1884,8,2.527,-0.07533333333333347
1884-09-01,1884,9,2.245,-0.12524999999999986
1884-10-01,1884,10,1.813,-0.2820666666666669
1884-11-01,1884,11,1.5619999999999998,-0.09645454545454557
1884-12-01,1884,12,1.214,-0.179888888888889
1885-03-01,1885,3,1.452,-0.014416666666666744
1885-04-01,1885,4,1.4460000000000002,-0.21853846153846135
1885-05-01,1885,5,1.825,-0.09884615384615403
1885-06-01,1885,6,2.084,-0.15857142857142836
