STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AFM00040938,1979-07-01,34.21,62.228,977.2,"HERAT, AF",,,,,,,0.0,"4,S",0.0,"4,S",19790701.0,",4,S",,,16.0,"4,S,01,",,,,,2.085,"4,,,S"
AFM00040938,1979-10-01,34.21,62.228,977.2,"HERAT, AF",,,,,,,0.0,"3,S",0.0,"3,S",19791011.0,",3,S",,,4.0,"3,S,11,",,,,,0.921,"3,,,S"
AFM00040938,1979-11-01,34.21,62.228,977.2,"HERAT, AF",,,,,,,0.0,"5,S",17.0,"5,S",19791124.0,"+,5,S",,,-8.0,"5,S,24,+",,,,,-0.11200000000000002,"5,,,S"
AFM00040938,1980-07-01,34.21,62.228,977.2,"HERAT, AF",,,,,,,0.0,"3,S",0.0,"3,S",19800720.0,",3,S",,,16.0,"3,S,20,",,,,,2.061,"3,,,S"
