STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147794,1926-09-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,170.7,"5,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",27.0,"3,E",3.0,"3,E",19260930.0,",2,E",19260926.0,"+,3,E",16.0,"2,E,30,",36.0,"3,E,26,+",,,0.0,"3,E",2.498,"5,E",2.893,"3,,,E",2.104,"2,,,E"
AGE00147794,1927-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"5,E",0.0,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",19270208.0,",5,E",19270225.0,",3,E",3.0,"5,E,08,",21.0,"3,E,25,",,,,,1.209,"7,E",1.496,"3,,,E",0.922,"5,,,E"
AGE00147794,1927-09-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,150.7,"3,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",27.0,"2,E",1.0,"2,E",19270927.0,",2,E",19270921.0,",2,E",13.0,"2,E,27,",34.0,"2,E,21,",,,1.7,"2,E",2.375,"3,E",2.693,"2,,,E",2.057,"2,,,E"
AGE00147794,1927-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"2,E",0.0,"2,E",0.0,"5,E",0.0,"5,E",0.0,"5,E",19271228.0,"+,2,E",19271224.0,"+,5,E",6.0,"2,E,28,+",21.0,"5,E,24,+",,,,,1.393,"7,E",1.669,"5,,,E",1.117,"2,,,E"
AGE00147794,1928-01-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"4,E",0.0,"4,E",0.0,"4,E",19280124.0,",3,E",19280119.0,",4,E",5.0,"3,E,24,",17.0,"4,E,19,",,,,,1.16,"6,E",1.385,"4,,,E",0.9359999999999999,"3,,,E"
AGE00147794,1928-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,",E",0.0,",E",0.0,",E",19280208.0,"+,1,E",19280217.0,",,E",5.0,"1,E,08,+",21.0,",E,17,",,,163.3,",E",1.246,"1,E",1.5310000000000001,",,,E",0.961,"1,,,E"
AGE00147794,1928-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"4,E",0.0,"4,E",0.0,"2,E",28.0,"2,E",1.0,"2,E",19280617.0,"+,4,E",19280627.0,",2,E",16.0,"4,E,17,+",34.0,"2,E,27,",,,,,2.243,"6,E",2.675,"2,,,E",1.812,"4,,,E"
AGE00147794,1928-10-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,90.3,",E",0.0,",E",0.0,",E",0.0,",E",24.0,",E",0.0,",E",19281031.0,"+,,E",19281003.0,"+,,E",12.0,",E,31,+",29.0,",E,03,+",,,11.2,",E",2.089,",E",2.397,",,,E",1.781,",,,E"
AGE00147794,1929-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.0,"5,E",0.0,"2,E",0.0,"2,E",0.0,"4,E",0.0,"4,E",0.0,"4,E",19290205.0,"+,2,E",19290223.0,",4,E",4.0,"2,E,05,+",20.0,"4,E,23,",,,168.2,"4,E",1.098,"5,E",1.3880000000000001,"4,,,E",0.808,"2,,,E"
AGE00147794,1929-03-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.0,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19290327.0,"+,1,E",19290310.0,",2,E",5.0,"1,E,27,+",20.0,"2,E,10,",,,150.3,"2,E",1.291,"3,E",1.569,"2,,,E",1.0130000000000001,"1,,,E"
AGE00147794,1929-04-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,12.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",11.0,"1,E",0.0,"1,E",19290404.0,",1,E",19290426.0,",1,E",6.0,"1,E,04,",29.0,"1,E,26,",,,63.5,"1,E",1.6620000000000001,"2,E",2.09,"1,,,E",1.234,"1,,,E"
AGE00147794,1929-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,24.0,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",9.0,"2,E",1.0,"2,E",19290526.0,"+,1,E",19290529.0,",2,E",11.0,"1,E,26,+",33.0,"2,E,29,",,,33.3,"2,E",1.8,"3,E",2.128,"2,,,E",1.473,"1,,,E"
AGE00147794,1929-10-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,61.0,"1,E",0.0,",E",0.0,",E",0.0,"1,E",22.0,"1,E",0.0,"1,E",19291031.0,"+,,E",19291008.0,",1,E",13.0,",E,31,+",32.0,"1,E,08,",,,7.0,"1,E",2.0140000000000002,"1,E",2.377,"1,,,E",1.652,",,,E"
AGE00147794,1929-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"2,E",0.0,"2,E",0.0,"5,E",3.0,"5,E",0.0,"5,E",19291111.0,",2,E",19291126.0,",5,E",8.0,"2,E,11,",23.0,"5,E,26,",,,,,1.5210000000000001,"6,E",1.816,"5,,,E",1.225,"2,,,E"
AGE00147794,1930-01-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",0.0,E,0.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",1.0,"2,E",0.0,"2,E",19300131.0,",2,E",19300114.0,",2,E",3.0,"2,E,31,",22.0,"2,E,14,",,,144.0,"2,E",1.295,"4,E",1.6030000000000002,"2,,,E",0.986,"2,,,E"
AGE00147794,1930-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",0.0,E,0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,",E",0.0,",E",0.0,",E",19300218.0,",2,E",19300203.0,",,E",1.0,"2,E,18,",19.0,",E,03,",,,187.2,",E",1.098,"2,E",1.3960000000000001,",,,E",0.8,"2,,,E"
AGE00147794,1930-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,26.0,"1,E",0.0,",E",0.0,",E",0.0,"1,E",14.0,"1,E",0.0,"1,E",19300501.0,",,E",19300515.0,",1,E",8.0,",E,01,",29.0,"1,E,15,",,,33.0,"1,E",1.809,"1,E",2.183,"1,,,E",1.435,",,,E"
AGE00147794,1930-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,97.8,"1,E",0.0,",E",0.0,",E",0.0,"1,E",27.0,"1,E",0.0,"1,E",19300609.0,"+,,E",19300626.0,"+,1,E",16.0,",E,09,+",32.0,"1,E,26,+",,,0.0,"1,E",2.179,"1,E",2.534,"1,,,E",1.823,",,,E"
AGE00147794,1930-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,37.2,"2,E",0.0,",E",0.0,",E",0.0,"2,E",15.0,"2,E",0.0,"2,E",19301114.0,",,E",19301122.0,",2,E",8.0,",E,14,",28.0,"2,E,22,",,,25.0,"2,E",1.877,"2,E",2.207,"2,,,E",1.5470000000000002,",,,E"
AGE00147794,1930-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,3.7,"5,E",0.0,"2,E",0.0,"2,E",0.0,"5,E",1.0,"5,E",0.0,"5,E",19301218.0,",2,E",19301201.0,",5,E",7.0,"2,E,18,",25.0,"5,E,01,",,,105.8,"5,E",1.434,"5,E",1.654,"5,,,E",1.214,"2,,,E"
AGE00147794,1931-01-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",5.3,E,5.3,"3,E",0.0,"2,E",0.0,"2,E",0.0,"1,E",2.0,"1,E",0.0,"1,E",19310112.0,"+,2,E",19310104.0,"+,1,E",5.0,"2,E,12,+",25.0,"1,E,04,+",,,164.2,"1,E",1.261,"3,E",1.483,"1,,,E",1.038,"2,,,E"
AGE00147794,1931-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",5.3,E,0.0,"2,E",0.0,"1,E",1.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",19310215.0,",1,E",19310228.0,"+,1,E",0.0,"1,E,15,",17.0,"1,E,28,+",,,233.2,"1,E",0.93,"2,E",1.27,"1,,,E",0.589,"1,,,E"
AGE00147794,1931-03-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",11.0,E,5.7,"2,E",0.0,",E",0.0,",E",0.0,"2,E",9.0,"2,E",0.0,"2,E",19310302.0,",,E",19310312.0,",2,E",6.0,",E,02,",25.0,"2,E,12,",,,68.8,"2,E",1.616,"2,E",1.9899999999999998,"2,,,E",1.242,",,,E"
AGE00147794,1931-04-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",14.3,E,3.3,"1,E",0.0,",E",0.0,",E",0.0,"1,E",7.0,"1,E",0.0,"1,E",19310421.0,",,E",19310402.0,",1,E",5.0,",E,21,",29.0,"1,E,02,",,,69.0,"1,E",1.609,"1,E",1.959,"1,,,E",1.26,",,,E"
AGE00147794,1931-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",51.0,E,36.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",16.0,"1,E",2.0,"1,E",19310510.0,",1,E",19310523.0,",1,E",10.0,"1,E,10,",35.0,"1,E,23,",,,18.8,"1,E",1.908,"2,E",2.33,"1,,,E",1.4869999999999999,"1,,,E"
AGE00147794,1931-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",237.3,E,186.3,"1,E",0.0,"1,E",0.0,"1,E",0.0,",E",29.0,",E",9.0,",E",19310601.0,",1,E",19310621.0,",,E",16.0,"1,E,01,",42.0,",E,21,",,,0.0,",E",2.484,"1,E",2.957,",,,E",2.0100000000000002,"1,,,E"
AGE00147794,1931-08-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,197.5,"4,E",0.0,"1,E",0.0,"1,E",0.0,"3,E",28.0,"3,E",4.0,"3,E",19310812.0,",1,E",19310804.0,",3,E",18.0,"1,E,12,",44.0,"3,E,04,",,,0.0,"3,E",2.582,"4,E",2.9539999999999997,"3,,,E",2.21,"1,,,E"
AGE00147794,1931-10-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,62.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",22.0,"1,E",0.0,"1,E",19311029.0,"+,1,E",19311023.0,",1,E",12.0,"1,E,29,+",30.0,"1,E,23,",,,10.7,"1,E",2.012,"2,E",2.3129999999999997,"1,,,E",1.7100000000000002,"1,,,E"
AGE00147794,1931-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,8.8,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",7.0,"1,E",0.0,"1,E",19311129.0,"+,1,E",19311110.0,"+,1,E",10.0,"1,E,29,+",26.0,"1,E,10,+",,,55.7,"1,E",1.6640000000000001,"2,E",1.9789999999999999,"1,,,E",1.348,"1,,,E"
AGE00147794,1931-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.2,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",2.0,"1,E",0.0,"1,E",19311223.0,",1,E",19311206.0,",1,E",2.0,"1,E,23,",24.0,"1,E,06,",,,204.3,"1,E",1.122,"2,E",1.42,"1,,,E",0.8230000000000001,"1,,,E"
AGE00147794,1932-01-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",0.0,E,0.0,"5,E",0.0,"4,E",0.0,"4,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19320103.0,",4,E",19320111.0,"+,2,E",3.0,"4,E,03,",19.0,"2,E,11,+",,,155.2,"2,E",1.225,"5,E",1.524,"2,,,E",0.9259999999999999,"4,,,E"
AGE00147794,1932-03-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,4.5,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",7.0,"3,E",0.0,"3,E",19320321.0,"+,3,E",19320316.0,",3,E",7.0,"3,E,21,+",27.0,"3,E,16,",,,108.7,"3,E",1.416,"5,E",1.768,"3,,,E",1.064,"3,,,E"
AGE00147794,1932-04-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,6.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",5.0,"1,E",0.0,"1,E",19320414.0,",1,E",19320430.0,"+,1,E",6.0,"1,E,14,",27.0,"1,E,30,+",,,101.0,"1,E",1.497,"2,E",1.855,"1,,,E",1.1380000000000001,"1,,,E"
AGE00147794,1932-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,18.2,",E",0.0,",E",0.0,",E",0.0,",E",15.0,",E",0.0,",E",19320506.0,",,E",19320521.0,",,E",10.0,",E,06,",28.0,",E,21,",,,22.0,",E",1.8210000000000002,",E",2.19,",,,E",1.452,",,,E"
AGE00147794,1932-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,52.8,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",21.0,"1,E",0.0,"1,E",19320602.0,",1,E",19320627.0,",1,E",15.0,"1,E,02,",31.0,"1,E,27,",,,0.7,"1,E",2.029,"2,E",2.334,"1,,,E",1.7239999999999998,"1,,,E"
AGE00147794,1932-09-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,174.2,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",29.0,"1,E",2.0,"1,E",19320930.0,",1,E",19320915.0,",1,E",18.0,"1,E,30,",35.0,"1,E,15,",,,0.0,"1,E",2.445,"2,E",2.755,"1,,,E",2.134,"1,,,E"
