STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AFM00040948,1979-11-01,34.566,69.212,1791.3,"KABUL INTERNATIONAL, AF",0.0,"5,S",,,,,,,0.0,"3,S",19.0,"3,S",0.0,"2,S",3.0,"2,S",0.0,"2,S",19791127.0,"+,3,S",,,19791105.0,",2,S",-6.0,"3,S,27,+",,,23.0,"2,S,05,",279.3,"2,S",,,0.696,"5,S",1.611,"2,,,S",-0.219,"3,,,S"
AFM00040948,1980-09-01,34.566,69.212,1791.3,"KABUL INTERNATIONAL, AF",43.3,"5,S",,,,,,,0.0,"1,S",0.0,"1,S",0.0,"4,S",26.0,"4,S",0.0,"4,S",19800929.0,",1,S",,,19800903.0,"+,4,S",4.0,"1,S,29,",,,32.0,"4,S,03,+",8.2,"4,S",,,1.954,"5,S",2.8850000000000002,"4,,,S",1.024,"1,,,S"
