DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1983-06-01,1983,6,3.2700000000000005,-0.011749999999999261
1984-02-01,1984,2,1.913,-0.1233333333333333
1984-10-01,1984,10,2.7190000000000003,-0.23637499999999978
1985-05-01,1985,5,3.029,-0.278
1985-06-01,1985,6,3.165,-0.11674999999999969
1985-09-01,1985,9,3.28,-0.11288888888888904
1985-10-01,1985,10,2.8760000000000003,-0.07937499999999975
1986-08-01,1986,8,3.562,-0.06783333333333363
1986-09-01,1986,9,3.305,-0.08788888888888868
1986-10-01,1986,10,2.923,-0.03237500000000004
1986-11-01,1986,11,2.444,-0.060875000000000234
1987-01-01,1987,1,1.784,-0.11933333333333329
1987-04-01,1987,4,2.613,-0.08866666666666667
1987-07-01,1987,7,3.522,0.1469999999999998
1987-10-01,1987,10,2.861,-0.09437499999999988
1988-08-01,1988,8,3.5090000000000003,-0.12083333333333313
1988-10-01,1988,10,2.955,-0.0003750000000000142
1989-05-01,1989,5,2.994,-0.3129999999999997
1989-10-01,1989,10,2.882,-0.07337499999999997
1989-11-01,1989,11,2.502,-0.002875000000000405
1990-07-01,1990,7,3.531,0.15600000000000014
1990-08-01,1990,8,3.532,-0.09783333333333344
1990-09-01,1990,9,3.354,-0.03888888888888875
1990-12-01,1990,12,2.081,0.16399999999999948
1991-06-01,1991,6,3.211,-0.07074999999999987
1991-08-01,1991,8,3.5409999999999995,-0.08883333333333399
1992-04-01,1992,4,2.491,-0.21066666666666656
1992-06-01,1992,6,3.276,-0.005749999999999922
1992-07-01,1992,7,3.361,-0.01399999999999979
1992-08-01,1992,8,3.475,-0.15483333333333338
1992-10-01,1992,10,2.852,-0.10337500000000022
1992-11-01,1992,11,2.399,-0.10587500000000016
1993-06-01,1993,6,3.283,0.0012500000000001954
1993-10-01,1993,10,2.891,-0.06437500000000007
1994-01-01,1994,1,1.906,0.002666666666666595
1994-09-01,1994,9,3.31,-0.08288888888888879
1995-01-01,1995,1,1.883,-0.020333333333333314
1995-07-01,1995,7,3.314,-0.06099999999999994
1995-10-01,1995,10,2.936,-0.019375000000000142
1995-11-01,1995,11,2.408,-0.09687500000000027
1996-04-01,1996,4,2.708,0.006333333333333524
1996-09-01,1996,9,3.317,-0.07588888888888867
1996-12-01,1996,12,1.9170000000000005,0.0
1997-06-01,1997,6,3.357,0.07525000000000048
1997-07-01,1997,7,3.45,0.07500000000000018
1997-11-01,1997,11,2.468,-0.03687500000000021
1999-08-01,1999,8,3.857,0.22716666666666674
1999-09-01,1999,9,3.4450000000000003,0.05211111111111144
2000-04-01,2000,4,2.906,0.20433333333333348
2000-10-01,2000,10,3.033,0.07762499999999983
2001-02-01,2001,2,1.954,-0.08233333333333337
2001-10-01,2001,10,2.986,0.030625000000000124
2001-11-01,2001,11,2.449,-0.05587500000000034
2002-08-01,2002,8,3.593,-0.036833333333333496
2004-02-01,2004,2,2.118,0.08166666666666655
2004-08-01,2004,8,3.655,0.025166666666666337
2004-11-01,2004,11,2.614,0.1091249999999997
2005-09-01,2005,9,3.3280000000000003,-0.06488888888888855
2006-10-01,2006,10,3.043,0.08762500000000006
2006-11-01,2006,11,2.556,0.051124999999999865
2007-09-01,2007,9,3.375,-0.017888888888888843
2007-10-01,2007,10,2.931,-0.024375000000000036
2008-05-01,2008,5,3.307,0.0
2008-09-01,2008,9,3.414,0.021111111111111303
2009-08-01,2009,8,3.658,0.02816666666666645
2009-09-01,2009,9,3.378,-0.01488888888888873
2009-10-01,2009,10,2.971,0.015625
2010-01-01,2010,1,1.921,0.01766666666666672
2010-11-01,2010,11,2.55,0.04512499999999964
2012-09-01,2012,9,3.503,0.11011111111111127
2012-11-01,2012,11,2.595,0.09012500000000001
2013-02-01,2013,2,2.037,0.0006666666666665932
2014-09-01,2014,9,3.466,0.07311111111111135
2023-08-01,2023,8,3.818,0.1881666666666666
2025-06-01,2025,6,3.471,0.18925000000000036
