DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1957-07-01,1957,7,2.337,-0.23450000000000015
1957-08-01,1957,8,2.54,-0.1120000000000001
1957-09-01,1957,9,2.198,
1957-10-01,1957,10,1.969,-0.05800000000000005
1957-11-01,1957,11,1.5,-0.10200000000000009
1957-12-01,1957,12,1.163,
1958-01-01,1958,1,1.108,
1958-02-01,1958,2,1.2970000000000002,
1958-03-01,1958,3,1.372,-0.006999999999999895
1958-04-01,1958,4,1.409,
1958-05-01,1958,5,1.85,-0.05999999999999983
1958-06-01,1958,6,2.257,-0.009749999999999925
1958-07-01,1958,7,2.333,-0.23850000000000016
1958-08-01,1958,8,2.52,-0.13200000000000012
1958-09-01,1958,9,2.318,
1958-10-01,1958,10,2.044,0.016999999999999904
1958-11-01,1958,11,1.508,-0.09400000000000008
1958-12-01,1958,12,1.433,
1959-02-01,1959,2,1.095,
1959-07-01,1959,7,2.381,-0.19050000000000056
1960-03-01,1960,3,1.413,0.03400000000000003
1960-08-01,1960,8,2.528,-0.12400000000000011
1965-09-01,1965,9,2.21,
1965-10-01,1965,10,2.1100000000000003,0.08300000000000018
1966-02-01,1966,2,1.447,
1966-04-01,1966,4,1.593,
1966-06-01,1966,6,2.138,-0.12875000000000014
1966-08-01,1966,8,2.432,-0.2200000000000002
1967-03-01,1967,3,1.274,-0.10499999999999998
1967-05-01,1967,5,1.863,-0.04699999999999993
1967-09-01,1967,9,2.287,
1973-04-01,1973,4,1.369,
1973-08-01,1973,8,2.531,-0.121
1973-10-01,1973,10,1.971,-0.05600000000000005
1973-11-01,1973,11,1.458,-0.14400000000000013
1974-07-01,1974,7,2.293,-0.2785000000000002
1974-08-01,1974,8,2.41,-0.242
1974-12-01,1974,12,1.175,
1975-01-01,1975,1,1.191,
1975-03-01,1975,3,1.199,-0.17999999999999994
1975-05-01,1975,5,1.64,-0.27
1975-06-01,1975,6,1.996,-0.27075000000000005
1975-07-01,1975,7,2.4210000000000003,-0.15050000000000008
1975-08-01,1975,8,2.488,-0.16400000000000015
1975-09-01,1975,9,2.495,
1977-08-01,1977,8,2.431,-0.22100000000000009
1978-07-01,1978,7,2.311,-0.2605000000000004
1978-10-01,1978,10,1.736,-0.29100000000000015
1978-11-01,1978,11,1.3199999999999998,-0.28200000000000025
1979-04-01,1979,4,1.319,
1979-07-01,1979,7,2.431,-0.1405000000000003
1979-08-01,1979,8,2.493,-0.15900000000000025
1979-09-01,1979,9,2.181,
1979-11-01,1979,11,1.355,-0.2470000000000001
1979-12-01,1979,12,1.242,
1980-05-01,1980,5,1.6670000000000005,-0.24299999999999944
1980-06-01,1980,6,2.063,-0.20374999999999988
1980-08-01,1980,8,2.467,-0.18500000000000005
1980-09-01,1980,9,2.32,
1981-02-01,1981,2,1.158,
1981-03-01,1981,3,1.434,0.05499999999999994
1981-04-01,1981,4,1.609,
1981-05-01,1981,5,1.82,-0.08999999999999986
1981-06-01,1981,6,2.128,-0.13874999999999993
1981-09-01,1981,9,2.428,
1981-10-01,1981,10,2.117,0.08999999999999986
1981-11-01,1981,11,1.485,-0.11699999999999999
1982-06-01,1982,6,2.393,0.12624999999999975
1982-08-01,1982,8,2.56,-0.09200000000000008
1983-06-01,1983,6,2.184,-0.08274999999999988
1983-08-01,1983,8,2.549,-0.1030000000000002
1983-09-01,1983,9,2.346,
1984-07-01,1984,7,2.465,-0.10650000000000048
1987-08-01,1987,8,2.6710000000000003,0.019000000000000128
1990-07-01,1990,7,2.486,-0.08550000000000013
1994-03-01,1994,3,1.379,0.0
1994-05-01,1994,5,1.91,0.0
1995-06-01,1995,6,2.176,-0.09074999999999989
2000-06-01,2000,6,2.174,-0.09275000000000011
2000-07-01,2000,7,2.498,-0.07350000000000012
2000-08-01,2000,8,2.593,-0.05900000000000016
2003-06-01,2003,6,2.504,0.23724999999999996
2003-07-01,2003,7,2.71,0.13849999999999962
2003-08-01,2003,8,2.826,0.17399999999999993
2004-08-01,2004,8,2.636,-0.016000000000000014
2008-07-01,2008,7,2.484,-0.08750000000000036
2008-08-01,2008,8,2.553,-0.0990000000000002
2008-10-01,2008,10,2.027,0.0
2009-06-01,2009,6,2.213,-0.053749999999999964
2009-07-01,2009,7,2.5940000000000003,0.022499999999999964
2010-11-01,2010,11,1.602,0.0
