DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1880-03-01,1880,3,1.586,-0.10022222222222221
1880-05-01,1880,5,2.319,-0.2530000000000001
1880-06-01,1880,6,2.725,-0.3774117647058821
1880-07-01,1880,7,3.258,-0.1578333333333335
1880-08-01,1880,8,3.24,-0.13333333333333286
1880-09-01,1880,9,2.8440000000000003,-0.03709999999999969
1880-10-01,1880,10,2.286,-0.06945454545454544
1880-11-01,1880,11,2.064,0.37842857142857156
1880-12-01,1880,12,1.353,0.10899999999999999
1881-01-01,1881,1,1.521,0.3862000000000001
1881-02-01,1881,2,1.529,0.15383333333333327
1881-03-01,1881,3,1.943,0.25677777777777777
1881-04-01,1881,4,2.258,0.16408333333333358
1881-05-01,1881,5,2.2510000000000003,-0.32099999999999973
1881-06-01,1881,6,2.795,-0.3074117647058823
1881-07-01,1881,7,3.406,-0.00983333333333336
1881-08-01,1881,8,3.305,-0.06833333333333291
1881-10-01,1881,10,2.214,-0.1414545454545455
1881-11-01,1881,11,1.599,-0.08657142857142852
1882-01-01,1882,1,1.035,-0.09979999999999989
1882-02-01,1882,2,1.219,-0.15616666666666656
1882-04-01,1882,4,1.763,-0.3309166666666665
1882-05-01,1882,5,2.528,-0.04400000000000004
1882-06-01,1882,6,2.894,-0.20841176470588207
1882-07-01,1882,7,3.052,-0.36383333333333345
1882-08-01,1882,8,3.038,-0.33533333333333326
1882-09-01,1882,9,2.565,-0.31610000000000005
1882-10-01,1882,10,2.221,-0.13445454545454538
1882-11-01,1882,11,1.536,-0.14957142857142847
1882-12-01,1882,12,1.225,-0.018999999999999906
1883-01-01,1883,1,1.168,0.03320000000000012
1883-02-01,1883,2,1.368,-0.0071666666666665435
1883-03-01,1883,3,1.486,-0.2002222222222223
1883-04-01,1883,4,1.885,-0.20891666666666642
1883-05-01,1883,5,2.367,-0.20500000000000007
1883-06-01,1883,6,2.841,-0.261411764705882
1883-07-01,1883,7,3.044,-0.37183333333333346
1883-08-01,1883,8,2.932,-0.44133333333333313
1883-09-01,1883,9,2.68,-0.20109999999999983
1883-11-01,1883,11,1.395,-0.2905714285714285
1883-12-01,1883,12,0.974,-0.27
1885-02-01,1885,2,1.536,0.16083333333333338
1885-03-01,1885,3,1.56,-0.12622222222222224
1885-04-01,1885,4,1.729,-0.36491666666666633
1885-05-01,1885,5,2.387,-0.18500000000000005
1885-06-01,1885,6,2.77,-0.3324117647058822
1885-07-01,1885,7,3.144,-0.27183333333333337
1885-08-01,1885,8,3.443,0.06966666666666699
1885-09-01,1885,9,2.63,-0.2511000000000001
1885-10-01,1885,10,1.944,-0.4114545454545455
1885-11-01,1885,11,1.46,-0.22557142857142853
1885-12-01,1885,12,1.233,-0.010999999999999899
1886-01-01,1886,1,0.958,-0.17679999999999985
1886-02-01,1886,2,1.213,-0.16216666666666657
1886-03-01,1886,3,1.716,0.02977777777777768
1886-04-01,1886,4,1.94,-0.15391666666666648
1886-05-01,1886,5,2.333,-0.23899999999999988
1886-06-01,1886,6,2.8920000000000003,-0.21041176470588185
1886-08-01,1886,8,3.009,-0.3643333333333332
1886-09-01,1886,9,2.772,-0.1091000000000002
1886-10-01,1886,10,2.247,-0.10845454545454558
1886-11-01,1886,11,1.501,-0.1845714285714286
1886-12-01,1886,12,1.129,-0.11499999999999999
1887-01-01,1887,1,0.93,-0.20479999999999976
1887-02-01,1887,2,1.134,-0.24116666666666675
1887-03-01,1887,3,1.7420000000000002,0.055777777777777926
1887-04-01,1887,4,1.691,-0.40291666666666637
1887-05-01,1887,5,2.426,-0.1459999999999999
1887-06-01,1887,6,2.897,-0.2054117647058824
1887-07-01,1887,7,3.165,-0.25083333333333346
1887-08-01,1887,8,3.106,-0.2673333333333332
1887-09-01,1887,9,2.847,-0.03410000000000002
1887-10-01,1887,10,1.903,-0.45245454545454544
1887-11-01,1887,11,1.557,-0.12857142857142856
1887-12-01,1887,12,1.122,-0.12199999999999989
1888-01-01,1888,1,1.08,-0.05479999999999974
1888-02-01,1888,2,1.114,-0.26116666666666655
1888-03-01,1888,3,1.6510000000000002,-0.035222222222222044
1888-04-01,1888,4,2.16,0.06608333333333372
1888-05-01,1888,5,2.404,-0.16800000000000015
1888-06-01,1888,6,3.003,-0.09941176470588209
1888-07-01,1888,7,3.429,0.013166666666666327
1888-08-01,1888,8,3.0780000000000003,-0.2953333333333328
1888-09-01,1888,9,2.924,0.04289999999999994
1888-10-01,1888,10,2.034,-0.32145454545454566
1888-11-01,1888,11,1.496,-0.1895714285714285
1888-12-01,1888,12,1.326,0.08200000000000007
1889-01-01,1889,1,1.033,-0.10179999999999989
