STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AF000040930,1979-10-01,35.317,69.017,3366.0,"NORTH SALANG, AF",0,"4,I",18,"4,I",19791017,"+,4,I",-4.0,"4,I,17,+",-0.089,"4,,,I"
AF000040930,1980-01-01,35.317,69.017,3366.0,"NORTH SALANG, AF",2,"5,I",26,"5,I",19800111,"+,5,I",-21.0,"5,I,11,+",-1.323,"5,,,I"
AF000040930,1980-08-01,35.317,69.017,3366.0,"NORTH SALANG, AF",0,"4,I",0,"4,I",19800831,"+,4,I",3.0,"4,I,31,+",0.47400000000000003,"4,,,I"
AF000040930,1980-09-01,35.317,69.017,3366.0,"NORTH SALANG, AF",0,"5,I",7,"5,I",19800913,",5,I",-3.0,"5,I,13,",0.128,"5,,,I"
