DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1996-06-01,1996,6,2.112,-0.1469999999999998
1996-08-01,1996,8,2.558,-0.0558888888888891
1996-11-01,1996,11,1.743,-0.02314285714285691
1997-02-01,1997,2,1.355,0.07054545454545447
1997-03-01,1997,3,1.314,-0.11533333333333329
1997-04-01,1997,4,1.537,-0.11058333333333348
1997-05-01,1997,5,1.978,0.05088235294117638
1997-06-01,1997,6,2.31,0.051000000000000156
1997-11-01,1997,11,1.752,-0.014142857142857013
1998-02-01,1998,2,1.337,0.05254545454545445
1998-03-01,1998,3,1.4300000000000002,0.0006666666666668153
1998-04-01,1998,4,1.6780000000000002,0.03041666666666676
1998-07-01,1998,7,2.472,-0.04918749999999994
1998-08-01,1998,8,2.557,-0.05688888888888899
1998-10-01,1998,10,1.946,-0.19984615384615378
1999-03-01,1999,3,1.525,0.09566666666666657
1999-07-01,1999,7,2.505,-0.01618750000000002
1999-10-01,1999,10,2.357,0.21115384615384647
2000-02-01,2000,2,1.293,0.008545454545454412
2000-06-01,2000,6,2.206,-0.052999999999999936
2000-09-01,2000,9,2.452,0.0572499999999998
2000-10-01,2000,10,2.05,-0.09584615384615391
2001-07-01,2001,7,2.525,0.0038124999999999964
2001-08-01,2001,8,2.625,0.011111111111111072
2002-05-01,2002,5,1.936,0.008882352941176341
2002-06-01,2002,6,2.288,0.028999999999999915
2002-07-01,2002,7,2.468,-0.05318749999999994
2002-08-01,2002,8,2.511,-0.10288888888888881
2002-09-01,2002,9,2.331,-0.0637500000000002
2002-10-01,2002,10,2.105,-0.040846153846153754
2002-11-01,2002,11,1.793,0.026857142857142913
2002-12-01,2002,12,1.482,0.04383333333333339
2003-02-01,2003,2,1.183,-0.10145454545454546
2003-03-01,2003,3,1.488,0.058666666666666645
2003-05-01,2003,5,1.937,0.009882352941176453
2003-06-01,2003,6,2.553,0.29400000000000004
2003-07-01,2003,7,2.807,0.2858125
2003-08-01,2003,8,2.9,0.286111111111111
2003-09-01,2003,9,2.433,0.03824999999999967
2004-06-01,2004,6,2.17,-0.08899999999999997
2004-07-01,2004,7,2.445,-0.07618750000000007
